whole,part,jj,result1,result2,result3
leaf,hole,dry,impossible,guaranteed,unlikely
road,vehicle,old,unrelated,unrelated,unrelated
road,vehicle,clean,unrelated,unrelated,unrelated
road,vehicle,narrow,unrelated,unrelated,unrelated
road,vehicle,open,unrelated,unrelated,unrelated
road,vehicle,empty,unrelated,unrelated,unrelated
road,vehicle,long,unrelated,unrelated,unrelated
bear,scarf,white,unlikely,unrelated,unrelated
skateboard,deck,giant,probably,guaranteed,guaranteed
skateboard,deck,green,unrelated,guaranteed,guaranteed
skateboard,deck,old,unrelated,guaranteed,guaranteed
skateboard,deck,wooden,unrelated,guaranteed,guaranteed
blazer,pocket,dark,guaranteed,probably,probably
blazer,pocket,white,guaranteed,probably,probably
sign,car,black,unlikely,impossible,impossible
sign,car,positive,pjj-nonsense,guaranteed,probably
sign,car,negative,pjj-nonsense,guaranteed,probably
sandwich,tomato,hot,guaranteed,probably,guaranteed
sandwich,tomato,thick,unrelated,unrelated,probably
sandwich,tomato,grilled,probably,unlikely,unrelated
horse,tail,dead,guaranteed,guaranteed,impossible
horse,tail,hooked,unrelated,unrelated,probably
horse,tail,old,guaranteed,guaranteed,guaranteed
horse,tail,blue,probably,guaranteed,probably
horse,tail,attached,guaranteed,unrelated,guaranteed
girl,forehead,beautiful,unrelated,probably,guaranteed
girl,forehead,old,guaranteed,guaranteed,guaranteed
girl,forehead,poor,pjj-nonsense,unrelated,guaranteed
girl,forehead,pretty,unrelated,probably,guaranteed
sink,plumbing,old,probably,probably,probably
helmet,strap,red,unrelated,unrelated,unrelated
helmet,strap,golden,unrelated,unrelated,unrelated
male,wetsuit,black,unrelated,unrelated,unrelated
girl,goggles,old,unrelated,unrelated,unrelated
sign,red,sure,pjj-nonsense,pjj-nonsense,pjj-nonsense
sign,red,outward,guaranteed,guaranteed,guaranteed
sign,red,black,unrelated,impossible,impossible
sign,red,positive,unrelated,guaranteed,pjj-nonsense
sign,red,negative,unrelated,guaranteed,pjj-nonsense
man,knee,poor,unrelated,pjj-nonsense,pjj-nonsense
doll,eye,white,unrelated,unlikely,probably
doll,eye,old,guaranteed,guaranteed,guaranteed
doll,eye,naked,unrelated,guaranteed,impossible
doll,eye,wooden,guaranteed,probably,guaranteed
doll,eye,broken,unrelated,unrelated,unlikely
doll,eye,beautiful,unrelated,probably,guaranteed
child,head,dear,unrelated,probably,guaranteed
child,head,young,guaranteed,guaranteed,guaranteed
child,head,blonde,guaranteed,guaranteed,guaranteed
child,head,poor,pjj-nonsense,unrelated,guaranteed
child,head,sick,probably,probably,probably
handle,design,white,unrelated,probably,probably
handle,design,wooden,probably,guaranteed,guaranteed
handle,design,metal,guaranteed,guaranteed,guaranteed
handle,design,convenient,unrelated,pjj-nonsense,guaranteed
handle,design,long,unrelated,probably,guaranteed
handle,design,short,guaranteed,guaranteed,guaranteed
chef,hair,white,unrelated,unrelated,unrelated
chef,hair,french,guaranteed,guaranteed,word-nonsense
chef,hair,personal,pjj-nonsense,unrelated,guaranteed
chef,hair,professional,pjj-nonsense,unrelated,probably
chef,hair,famous,probably,probably,guaranteed
chef,hair,excellent,unrelated,unrelated,unrelated
cow,collar,old,unrelated,guaranteed,unrelated
cow,collar,red,unrelated,unrelated,unrelated
road,grass,old,unlikely,probably,unlikely
road,grass,clean,probably,probably,impossible
road,grass,grey,impossible,unrelated,impossible
road,grass,open,probably,guaranteed,impossible
road,grass,empty,unrelated,unrelated,impossible
road,grass,long,probably,guaranteed,unrelated
roof,shingle,flat,guaranteed,guaranteed,guaranteed
roof,shingle,grey,probably,guaranteed,guaranteed
woman,boot,poor,pjj-nonsense,unlikely,unrelated
post,spot,tall,unrelated,unrelated,unlikely
post,spot,old,probably,unrelated,probably
post,spot,important,impossible,unlikely,pjj-nonsense
post,spot,high,impossible,unrelated,probably
post,spot,vacant,pjj-nonsense,guaranteed,pjj-nonsense
photo,writing,old,probably,guaranteed,guaranteed
photo,writing,framed,guaranteed,guaranteed,guaranteed
photo,writing,digital,probably,guaranteed,guaranteed
photo,writing,above,probably,guaranteed,pjj-nonsense
photo,writing,original,probably,unrelated,probably
shoe,heel,white,guaranteed,probably,probably
shoe,heel,old,guaranteed,guaranteed,probably
shoe,heel,hot,unrelated,unrelated,probably
pitcher,water,white,unrelated,unlikely,impossible
pitcher,water,young,unrelated,unrelated,unrelated
pitcher,water,silver,unrelated,unlikely,impossible
pitcher,water,broken,pjj-nonsense,impossible,impossible
pitcher,water,floral,impossible,impossible,impossible
pitcher,water,empty,impossible,impossible,guaranteed
chair,shadow,comfortable,pjj-nonsense,unrelated,impossible
chair,shadow,slender,probably,guaranteed,probably
chair,shadow,purple,unrelated,unlikely,impossible
chair,shadow,empty,pjj-nonsense,pjj-nonsense,impossible
kid,hand,smart,unrelated,unrelated,guaranteed
kid,hand,nice,unrelated,probably,guaranteed
kid,hand,white,guaranteed,probably,guaranteed
kid,hand,young,guaranteed,guaranteed,guaranteed
kid,hand,poor,unrelated,pjj-nonsense,guaranteed
sheep,leg,fat,unlikely,guaranteed,probably
sheep,leg,fetal,guaranteed,pjj-nonsense,guaranteed
box,candy,brown,unrelated,unrelated,probably
hand,bat,human,impossible,unrelated,impossible
hand,bat,outstretched,guaranteed,guaranteed,guaranteed
hand,bat,strong,unrelated,unrelated,unrelated
boy,beard,nice,unrelated,unrelated,unrelated
boy,beard,dear,unrelated,pjj-nonsense,unrelated
boy,beard,young,guaranteed,guaranteed,probably
car,ear,old,unrelated,guaranteed,wjj-nonsense
car,ear,white,unrelated,probably,impossible
car,ear,silver,unrelated,probably,impossible
car,ear,used,pjj-nonsense,guaranteed,probably
car,ear,open,unrelated,pjj-nonsense,unrelated
car,ear,private,pjj-nonsense,pjj-nonsense,guaranteed
sidewalk,sign,white,unrelated,unlikely,unrelated
sidewalk,sign,public,guaranteed,guaranteed,guaranteed
sidewalk,sign,wooden,unrelated,unrelated,wjj-nonsense
sidewalk,sign,wide,unrelated,unrelated,unrelated
sidewalk,sign,concrete,impossible,impossible,unlikely
room,toilet,empty,guaranteed,unrelated,guaranteed
room,toilet,private,guaranteed,guaranteed,guaranteed
path,curb,straight,guaranteed,guaranteed,probably
path,curb,long,guaranteed,guaranteed,guaranteed
path,curb,free,guaranteed,guaranteed,pjj-nonsense
path,curb,narrow,unrelated,guaranteed,probably
bus,screen,old,probably,probably,probably
bus,screen,public,guaranteed,guaranteed,guaranteed
bus,screen,crowded,probably,probably,impossible
bus,screen,black,unlikely,unrelated,impossible
bus,screen,external,wjj-nonsense,unrelated,guaranteed
bus,screen,colorful,unlikely,unlikely,impossible
chandelier,shade,crystal,probably,probably,unlikely
chandelier,shade,white,probably,unrelated,probably
chandelier,shade,massive,unlikely,probably,unlikely
chandelier,shade,huge,unlikely,probably,unlikely
chandelier,shade,enormous,unlikely,guaranteed,unlikely
chandelier,shade,magnificent,guaranteed,guaranteed,probably
wing,tip,broken,unrelated,probably,unrelated
wing,tip,extreme,probably,pjj-nonsense,unrelated
wing,tip,white,probably,probably,probably
wing,tip,liberal,pjj-nonsense,pjj-nonsense,pjj-nonsense
zebra,blacktail,true,guaranteed,guaranteed,pjj-nonsense
hut,roof,brown,probably,unrelated,unrelated
hut,roof,thatched,guaranteed,probably,pjj-nonsense
hut,roof,old,guaranteed,probably,probably
hut,roof,wooden,probably,probably,probably
hut,roof,miserable,unrelated,pjj-nonsense,pjj-nonsense
hut,roof,rude,impossible,pjj-nonsense,pjj-nonsense
painting,flower,original,guaranteed,unrelated,guaranteed
painting,flower,chinese,probably,probably,unrelated
painting,flower,white,unlikely,unrelated,probably
painting,flower,historical,probably,guaranteed,probably
train,flag,long,unlikely,probably,unrelated
train,flag,regular,pjj-nonsense,probably,unrelated
train,flag,red,unrelated,unrelated,unrelated
watch,face,careful,pjj-nonsense,impossible,pjj-nonsense
watch,face,vigilant,pjj-nonsense,impossible,pjj-nonsense
watch,face,white,probably,probably,unrelated
watch,face,silver,probably,unrelated,unrelated
watch,face,close,guaranteed,guaranteed,pjj-nonsense
watch,face,strict,pjj-nonsense,wjj-nonsense,pjj-nonsense
watch,face,sharp,unlikely,guaranteed,pjj-nonsense
ground,edge,white,guaranteed,probably,guaranteed
ground,edge,sandy,probably,probably,guaranteed
ground,edge,firm,guaranteed,probably,guaranteed
ground,edge,dry,guaranteed,probably,guaranteed
ground,edge,open,unlikely,probably,pjj-nonsense
airplane,window,light,unrelated,guaranteed,guaranteed
airplane,window,white,impossible,unlikely,impossible
airplane,window,conventional,probably,guaranteed,guaranteed
airplane,window,american,guaranteed,guaranteed,guaranteed
airplane,window,private,guaranteed,guaranteed,guaranteed
bus,mirror,old,probably,probably,guaranteed
bus,mirror,public,guaranteed,pjj-nonsense,guaranteed
bus,mirror,crowded,impossible,pjj-nonsense,impossible
bus,mirror,black,impossible,unrelated,unrelated
bus,mirror,external,guaranteed,wjj-nonsense,guaranteed
she,hair,her,wjj-nonsense,guaranteed,guaranteed
she,hair,beautiful,probably,guaranteed,probably
shelter,roof,temporary,unlikely,guaranteed,impossible
shelter,roof,safe,guaranteed,guaranteed,guaranteed
shelter,roof,adequate,guaranteed,guaranteed,guaranteed
shelter,roof,friendly,pjj-nonsense,pjj-nonsense,pjj-nonsense
giraffe,dot,brown,guaranteed,probably,probably
giraffe,dot,young,guaranteed,guaranteed,guaranteed
building,name,original,probably,probably,unrelated
building,name,fine,pjj-nonsense,unrelated,guaranteed
building,name,public,guaranteed,guaranteed,guaranteed
building,name,old,probably,unrelated,guaranteed
pony,nostril,white,unrelated,unrelated,probably
airplane,tip,white,guaranteed,probably,probably
airplane,tip,light,unrelated,guaranteed,guaranteed
airplane,tip,private,guaranteed,guaranteed,guaranteed
airplane,tip,conventional,guaranteed,guaranteed,probably
sign,arrow,black,unlikely,unrelated,impossible
sign,arrow,positive,pjj-nonsense,unrelated,guaranteed
sign,arrow,sure,pjj-nonsense,pjj-nonsense,guaranteed
sign,arrow,outward,pjj-nonsense,probably,guaranteed
cabinet,glass,white,unrelated,unrelated,impossible
cabinet,glass,metal,impossible,unlikely,impossible
cabinet,glass,french,unrelated,probably,unrelated
cabinet,glass,english,unrelated,probably,unrelated
cabinet,glass,inner,pjj-nonsense,pjj-nonsense,unlikely
floor,carpet,bare,unrelated,guaranteed,guaranteed
floor,carpet,grey,unrelated,guaranteed,guaranteed
boat,mast,white,probably,probably,probably
boat,mast,old,probably,guaranteed,probably
boat,mast,tiny,guaranteed,guaranteed,guaranteed
boat,mast,wooden,probably,unrelated,unrelated
barn,roof,tall,guaranteed,guaranteed,probably
barn,roof,white,unlikely,unrelated,unrelated
barn,roof,old,probably,guaranteed,probably
barn,roof,tan,unrelated,unrelated,unrelated
barn,roof,huge,guaranteed,guaranteed,guaranteed
barn,roof,empty,unrelated,pjj-nonsense,unrelated
t-shirt,design,red,unrelated,unrelated,impossible
baby,mouth,young,guaranteed,guaranteed,guaranteed
baby,mouth,poor,pjj-nonsense,nonsense,guaranteed
baby,mouth,grey,unrelated,probably,probably
baby,mouth,healthy,guaranteed,guaranteed,guaranteed
snow,footprint,high,probably,guaranteed,unlikely
snow,footprint,fresh,probably,guaranteed,guaranteed
snow,footprint,deep,probably,guaranteed,guaranteed
snow,footprint,heavy,impossible,unrelated,probably
person,camera,human,impossible,impossible,impossible
dog,whisker,white,probably,unrelated,unrelated
surfboard,nose,miniature,guaranteed,probably,guaranteed
surfboard,nose,regular,guaranteed,wjj-nonsense,probably
surfboard,nose,old,guaranteed,guaranteed,probably
surfboard,nose,purple,guaranteed,unlikely,probably
surfboard,nose,giant,guaranteed,probably,probably
surfboard,nose,short,guaranteed,probably,guaranteed
train,vent,regular,probably,probably,pjj-nonsense
toilet,hole,hasty,wjj-nonsense,pjj-nonsense,guaranteed
toilet,hole,white,unrelated,guaranteed,guaranteed
toilet,hole,closed,unrelated,unrelated,guaranteed
toilet,hole,clear,unrelated,guaranteed,guaranteed
baseball player,leg,one,guaranteed,pjj-nonsense,unrelated
baseball player,leg,poor,unrelated,guaranteed,unrelated
bush,trunk,curved,unrelated,probably,guaranteed
bush,trunk,thick,unrelated,probably,probably
bush,trunk,low,guaranteed,guaranteed,guaranteed
bush,trunk,colored,unrelated,guaranteed,unlikely
bush,trunk,green,unlikely,unlikely,unlikely
sink,handle,porcelain,unrelated,unlikely,unrelated
sink,handle,old,probably,probably,guaranteed
sink,handle,shiny,unrelated,probably,guaranteed
sink,handle,clean,probably,probably,guaranteed
sink,handle,dry,probably,probably,guaranteed
sink,handle,stainless,unrelated,probably,probably
man,button,poor,pjj-nonsense,unrelated,unrelated
people,boot,old,unrelated,unrelated,unrelated
people,boot,american,unrelated,unrelated,probably
boy,lip,dear,probably,unrelated,probably
boy,lip,young,guaranteed,guaranteed,guaranteed
court,line,tan,impossible,impossible,unrelated
court,line,white,guaranteed,impossible,unlikely
court,line,sandy,unrelated,guaranteed,probably
court,line,open,impossible,pjj-nonsense,pjj-nonsense
ocean,shoreline,open,probably,probably,guaranteed
ocean,shoreline,still,guaranteed,guaranteed,guaranteed
container,sugar,white,unrelated,guaranteed,unrelated
container,sugar,suitable,guaranteed,unrelated,unrelated
train,trim,electric,impossible,impossible,unrelated
train,trim,red,unlikely,unrelated,unlikely
train,trim,regular,probably,probably,guaranteed
chair,backrest,comfortable,guaranteed,guaranteed,guaranteed
bathroom,ceiling,adjoining,guaranteed,unrelated,pjj-nonsense
bathroom,ceiling,white,probably,probably,probably
bathroom,ceiling,upstairs,guaranteed,guaranteed,guaranteed
bathroom,ceiling,tiled,unlikely,unrelated,unlikely
bathroom,ceiling,private,guaranteed,guaranteed,guaranteed
pitcher,handle,broken,unrelated,probably,unrelated
pitcher,handle,empty,impossible,unrelated,guaranteed
pitcher,handle,white,probably,probably,probably
pitcher,handle,silver,probably,probably,probably
hat,top,tall,guaranteed,guaranteed,unlikely
hat,top,white,guaranteed,guaranteed,probably
hat,top,old,guaranteed,guaranteed,guaranteed
rug,pattern,persian,guaranteed,unlikely,probably
rug,pattern,oriental,guaranteed,unlikely,probably
rug,pattern,old,guaranteed,guaranteed,guaranteed
rug,pattern,thick,unrelated,pjj-nonsense,impossible
rug,pattern,huge,guaranteed,pjj-nonsense,unlikely
rug,pattern,green,unrelated,probably,guaranteed
rug,pattern,braided,unrelated,probably,impossible
short,pattern,dead,pjj-nonsense,guaranteed,pjj-nonsense
short,pattern,blue,unlikely,unlikely,probably
short,pattern,long,unlikely,unrelated,unrelated
short,pattern,electrical,pjj-nonsense,guaranteed,impossible
batter,head,thick,guaranteed,unrelated,unrelated
batter,head,thin,guaranteed,unrelated,probably
batter,head,slight,unrelated,unrelated,probably
batter,head,stiff,guaranteed,guaranteed,pjj-nonsense
batter,head,ready,unrelated,guaranteed,guaranteed
batter,head,smooth,unrelated,unrelated,wjj-nonsense
building,awning,orange,unrelated,unrelated,probably
building,awning,old,unrelated,probably,guaranteed
mouse,wire,dead,probably,guaranteed,guaranteed
mouse,wire,white,unrelated,probably,probably
bus,floor,old,guaranteed,guaranteed,guaranteed
bus,floor,public,guaranteed,guaranteed,guaranteed
bus,floor,crowded,probably,guaranteed,probably
bus,floor,black,unrelated,unrelated,unrelated
bus,floor,colorful,unrelated,unrelated,unrelated
building,advertisement,original,unrelated,unrelated,unrelated
building,advertisement,fine,unrelated,unrelated,unrelated
building,advertisement,public,unrelated,guaranteed,guaranteed
building,advertisement,old,unrelated,unrelated,unrelated
train,yellow,fast,guaranteed,pjj-nonsense,unrelated
train,yellow,long,guaranteed,pjj-nonsense,unrelated
train,yellow,electric,unrelated,pjj-nonsense,unrelated
train,yellow,red,impossible,impossible,unrelated
man,handkerchief,poor,unrelated,unrelated,pjj-nonsense
snowboard,sticker,red,unrelated,unlikely,unrelated
tree,ornament,old,unrelated,probably,unrelated
tree,ornament,green,unrelated,unlikely,unrelated
girl,bear,beautiful,unrelated,unrelated,unrelated
girl,bear,old,unrelated,unrelated,unrelated
girl,bear,poor,unrelated,pjj-nonsense,impossible
cat,pupil,white,unrelated,unlikely,unrelated
cat,pupil,old,guaranteed,guaranteed,guaranteed
kid,pant,poor,unrelated,pjj-nonsense,unrelated
bench,design,hard,guaranteed,guaranteed,probably
bench,design,wooden,probably,probably,unrelated
bench,design,federal,pjj-nonsense,guaranteed,unrelated
bench,design,gray,probably,unrelated,probably
bench,design,judicial,pjj-nonsense,guaranteed,unrelated
bench,design,long,probably,unrelated,unrelated
bench,design,concrete,probably,probably,probably
wheel,rim,rotating,guaranteed,guaranteed,guaranteed
wheel,rim,black,unlikely,unlikely,unrelated
wheel,rim,revolving,guaranteed,guaranteed,guaranteed
wheel,rim,spare,guaranteed,unlikely,pjj-nonsense
tree,thorn,old,probably,guaranteed,impossible
tree,thorn,green,probably,guaranteed,probably
tree,thorn,hollow,unrelated,unrelated,impossible
skateboarder,shadow,male,unrelated,guaranteed,guaranteed
skateboarder,shadow,young,unrelated,guaranteed,unrelated
airplane,fin,white,probably,unrelated,probably
wall,pattern,white,unlikely,unrelated,unrelated
wall,pattern,anterior,guaranteed,guaranteed,guaranteed
wall,pattern,high,unrelated,guaranteed,unrelated
wall,pattern,lateral,unrelated,guaranteed,guaranteed
wall,pattern,posterior,guaranteed,guaranteed,guaranteed
hand,knife,open,pjj-nonsense,unrelated,unlikely
hand,knife,strong,nonsense,unrelated,unrelated
lighthouse,top,tall,probably,guaranteed,guaranteed
lighthouse,top,white,probably,probably,probably
lighthouse,top,old,probably,probably,probably
lighthouse,top,distant,guaranteed,probably,guaranteed
lighthouse,top,famous,probably,probably,probably
chair,padding,comfortable,guaranteed,guaranteed,probably
chair,padding,black,probably,probably,unrelated
post,light,curved,probably,unlikely,unrelated
post,light,old,probably,probably,guaranteed
post,light,tall,unrelated,guaranteed,guaranteed
post,light,official,pjj-nonsense,guaranteed,unrelated
post,light,important,pjj-nonsense,guaranteed,guaranteed
post,light,high,guaranteed,guaranteed,guaranteed
bag,handle,black,probably,probably,unrelated
bag,handle,square,impossible,unlikely,unrelated
tire,edge,round,guaranteed,guaranteed,guaranteed
tire,edge,black,guaranteed,guaranteed,probably
tire,edge,old,guaranteed,guaranteed,guaranteed
boy,ball,nice,unrelated,unrelated,unrelated
boy,ball,young,unrelated,unrelated,unrelated
river,water,peaceful,pjj-nonsense,guaranteed,guaranteed
river,water,fear,pjj-nonsense,wjj-nonsense,pjj-nonsense
river,water,wavy,guaranteed,guaranteed,guaranteed
river,water,broad,pjj-nonsense,guaranteed,guaranteed
river,water,blue,guaranteed,guaranteed,guaranteed
river,water,calm,guaranteed,guaranteed,guaranteed
river,water,mighty,guaranteed,guaranteed,guaranteed
river,water,wide,pjj-nonsense,guaranteed,guaranteed
river,water,navigable,guaranteed,guaranteed,guaranteed
parking meter,pole,triple,wjj-nonsense,pjj-nonsense,probably
